剧情ID,剧情对话1类型,剧情对话1人物方位,剧情对话1人物ID,剧情对话1人物Y轴偏移值,剧情对话1人物动作,"剧情对话1人物
头部转向","剧情对话1人物
身体朝向",剧情对话1文本,语音1,剧情对话2类型,剧情对话2人物方位,剧情对话2人物ID,剧情对话2人物Y轴偏移值,剧情对话2人物动作,"剧情对话2人物
头部转向","剧情对话2人物
身体朝向",剧情对话2文本,语音2,剧情对话3类型,剧情对话3人物方位,剧情对话3人物ID,剧情对话3人物Y轴偏移值,剧情对话3人物动作,"剧情对话3人物
头部转向","剧情对话3人物
身体朝向",剧情对话3文本,语音3,剧情对话4类型,剧情对话4人物方位,剧情对话4人物ID,剧情对话4人物Y轴偏移值,剧情对话4人物动作,"剧情对话4人物
头部转向","剧情对话4人物
身体朝向",剧情对话4文本,语音4,剧情对话5类型,剧情对话5人物方位,剧情对话5人物ID,剧情对话5人物Y轴偏移值,剧情对话5人物动作,"剧情对话5人物
头部转向","剧情对话5人物
身体朝向",剧情对话5文本,语音5,剧情对话6类型,剧情对话6人物方位,剧情对话6人物ID,剧情对话6人物Y轴偏移值,剧情对话6人物动作,"剧情对话6人物
头部转向","剧情对话6人物
身体朝向",剧情对话6文本,语音6,
test_talk_001,1,1,H:H0149,0,,10,-30,我想说这只是一句测试对话！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新手剧情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_01,1,1,H:H0149,0,,10,-30,伟大的[ffb220]$P[-]，眼前的纷争虽已解决，但仍有诸多的世界等待您的拯救！,xinshouyindao/v_newbie_01_01,1,1,H:H0149,0,,10,-30,我将协助您，召唤最强大的英雄们，为您而战！,xinshouyindao/v_newbie_01_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_02,1,1,H:H0149,0,,10,-30,在这里您可以召唤到诸界神魔噢！召唤品质越高，召唤出神王或魔王的几率也越大。,xinshouyindao/v_newbie_02_01,1,1,H:H0149,0,,10,-30,让我们开始召唤吧，伟大的[ffb220]$P[-]！,xinshouyindao/v_newbie_02_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_03,1,1,H:H0149,0,,10,-30,刚刚召唤到的英雄非常强大！那可是我一直崇拜的大神呢！,xinshouyindao/v_newbie_03_01,1,1,H:H0149,0,,10,-30,对了，我想告诉您的是，合理的排布阵容会让您的军团更加强大！,xinshouyindao/v_newbie_03_02,1,1,H:H0149,0,,10,-30,而这名英雄刚好是善于抵挡敌方攻击的肉盾型英雄，将他放在阵首可以让后方英雄更有安全感呢！,xinshouyindao/v_newbie_03_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_04,1,1,H:H0149,0,,10,-30,伟大的[ffb220]$P[-]，您的军团已准备就绪，是时候踏上拯救诸界的征程了！,xinshouyindao/v_newbie_04_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_05,1,2,H:H0149,0,,15,10,点击地图可以进入对应的战役，让我们开启征服之旅吧！,xinshouyindao/v_newbie_05_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_06,1,2,H:H0149,0,,15,10,如您所见，完成最后一击的英雄将会获得更多的经验，阵亡的英雄将会获得较少经验！,xinshouyindao/v_newbie_06_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_07,1,2,H:H0149,0,,15,10,哇...您在冒险中获得了一件[ffb220]装备[-]！现在就让我们去了解下[ffb220]装备[-]的用处吧。,xinshouyindao/v_newbie_07_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_08,1,1,H:H0149,0,,10,-30,缺少[ffb220]装备[-]的英雄无法使出全力战斗，所以当您获取[ffb220]装备[-]时，请第一时间为英雄佩戴！,xinshouyindao/v_newbie_08_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_09,1,1,H:H0149,0,,10,-30,您的英雄实力已得到了增强。检验实力的最佳场所就是战场了，让我们继续刚才的冒险吧！,xinshouyindao/v_newbie_09_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_09_1,1,1,H:H0149,0,,10,-30,"看，这就是[ffb220]混沌结晶[-]！凡人黑胡子只拥有少量就可以跟神祇抗衡，可见它所蕴藏
的力量是多么强大！",xinshouyindao/v_newbie_09_1_01,1,1,H:H0149,0,,10,-30,作为拯救诸界的关键，[ffb220]混沌结晶[-]十分稀少，您只有击败劲敌才能获得它们。现在就让我们继续上路，寻获更多的[ffb220]混沌结晶[-]吧！,xinshouyindao/v_newbie_09_1_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_10,1,2,H:H0149,0,,15,10,刚才的敌人真是难缠，不过一路奋斗一定是会有回报的，前面好像有个闪闪发光的箱子，让我们一起去看看如何打开它吧！,xinshouyindao/v_newbie_10_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_10_1,1,2,H:H0149,0,,15,10,如您所见，作为战役中的阶段奖励，补给宝箱主要产出[ffb220]突破石[-]。[ffb220]突破石[-]是英雄突破不可或缺的重要材料，现在就让我们去看看如何为您麾下的英雄突破吧！,xinshouyindao/v_newbie_10_1_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_10_2,1,1,H:H0149,0,,10,-30,突破会直接提升英雄的主要属性，收集的[ffb220]突破石[-]越多，您的军团也将越强大！,xinshouyindao/v_newbie_10_2_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_11,1,1,H:H0149,0,,10,-30,传奇从不会为眼前小利而驻足，让我们继续上路吧！,xinshouyindao/v_newbie_11_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_12,1,2,H:H0149,0,,15,10,您已达到了等阶3，您的实力足以领导更多的英雄为您而战了！,xinshouyindao/v_newbie_12_01,1,2,H:H0149,0,,15,10,现在就让我们去召唤祭坛召唤新的英雄吧！,xinshouyindao/v_newbie_12_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_13,1,1,H:H0149,0,,10,-30,您又拥有了一位强大英雄呢，这位也是我一直崇拜的大神噢！小女子的偶像从来也不嫌多啦…,xinshouyindao/v_newbie_13_01,1,1,H:H0149,0,,10,-30,伟大的[ffb220]$P[-]，还记得我说过的合理排布阵容吗？这位英雄可不是皮糙肉厚的沙包类型噢！,xinshouyindao/v_newbie_13_02,1,1,H:H0149,0,,10,-30,这次我们来试试将其部署在阵容中较安全的位置吧！,xinshouyindao/v_newbie_13_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_13_1,1,2,H:H0149,0,,15,10,非坦克类型的英雄，我们一般将其放在阵容的靠后位置来规避伤害！,xinshouyindao/v_newbie_13_1_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_14,1,1,E:BlackBHMT,0,,10,-30,[ffb220]$P[-]，世间的混沌成就了你，但是你真的清楚你的宿命吗？,xinshouyindao/v_newbie_14_01,1,1,E:BlackBHMT,0,,10,-30,强大？不朽？他人的敬畏？你的选择将造就你，但你现在还没有资格选择。,xinshouyindao/v_newbie_14_02,1,1,E:BlackBHMT,0,,10,-30,来找我，挑战我，证明你自己，我在诺亚方舟等你！,xinshouyindao/v_newbie_14_03,1,2,H:H0149,0,,15,10,伟大的[ffb220]$P[-]，这股气息异常强大，此战势必艰险！您若想更好地庇护麾下英雄，恐怕我们需要立刻开启[ffb220]混沌奥义[-]的学习呢！,xinshouyindao/v_newbie_14_04,,,,,,,,,,,,,,,,,,,
newbie_15,1,1,H:H0149,0,,10,-30,通过强化[ffb220]装备[-]，您的英雄实力已经再次增强了很多。,xinshouyindao/v_newbie_15_01,1,1,H:H0149,0,,10,-30,不过亦不知刚才的神秘人是敌是友，此战势必要赌上您的荣耀，让我伴您左右见证您的崛起吧！,xinshouyindao/v_newbie_15_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_15_1,1,1,H:H0149,0,,10,-30,您可以在战斗中收集混沌能量，当您拥有一定的混沌能量时便可释放[ffb220]奥义[-]。,xinshouyindao/v_newbie_15_1_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_16,1,1,H:H0149,0,,10,-30,"赞美您!您刚刚通过了""善龙之王""的试炼，您的传奇将就此开启！",xinshouyindao/v_newbie_16_01,1,1,H:H0149,0,,10,-30,让我们尽快领取此地的战利品，然后进行下一个地点的冒险吧！,xinshouyindao/v_newbie_16_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_16_1,1,2,H:H0149,0,,15,10,如您所见，作为战役中的最终奖励，大补给宝箱主要产出[ffb220]钻石[-]和[ffb220]体力[-]。现在就让我们带上这些奖励开启新的征程吧！,xinshouyindao/v_newbie_16_1_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_16_2,1,2,H:H0149,0,,15,10,混沌神大人，由于您首次击败章节BOSS“巴哈姆特”，众神为您提供了一份非常丰厚的[ffb220]贡品[-]，现在就让我们前去看看吧！,xinshouyindao/v_newbie_16_2_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_16_3,1,2,H:H0149,0,,15,10,混沌神大人，您的实力成长飞速！我想您已经做好了打开[ffb220]秘宝[-]的准备了，现在就让我们前去看看吧！,xinshouyindao/v_newbie_16_3_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_16_4,1,2,H:H0149,0,,15,10,随着等阶的提升，您所能掌握的[ffb220]奥义[-]也更加复杂！利用这些奖励，您可以使自己的[ffb220]奥义[-]更加强大噢！,xinshouyindao/v_newbie_16_4_01,1,2,H:H0149,0,,15,10,不过如今您的历练还不够，当您达到等阶7时，您将领悟更加强大的[ffb220]伤害性奥义[-]，当您到达等阶30时，您将领悟终极的[ffb220]觉醒奥义[-]！还等什么，让我们立刻开启新的征程吧！,xinshouyindao/v_newbie_16_4_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_17,1,2,H:H0149,0,,15,10,点击地图上的下一个地点，那就是我们即将前往的目的地！,xinshouyindao/v_newbie_17_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newbie_18,1,2,H:H0149,0,,15,10,新的冒险即将开始，而我也将回到凡间！,xinshouyindao/v_newbie_18_01,1,2,H:H0149,0,,15,10,希望我们再次见面时，您也会成为我崇拜的大神！,xinshouyindao/v_newbie_18_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新功能开启,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_101,1,1,H:H0149,0,,10,-30,伟大的[ffb220]$P[-]，真想不到您这么快就领悟了混沌奥义。现在就让我们去[ffb220]奥义[-]页面瞧瞧吧！,xinshouyindao/v_newfunction_101_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_102,1,1,H:H0149,0,,10,-30,[ffb220]奥义[-]是专属于混沌神的强大天赋技能。有些[ffb220]奥义[-]可以在战斗中主动释放并产生影响战局的效果，有些[ffb220]奥义[-]可以被动增加上阵英雄们的属性使其更加强力…,xinshouyindao/v_newfunction_102_01,1,1,H:H0149,0,,10,-30,总之，对[ffb220]奥义[-]的掌控程度是混沌神实力的重要体现！现在就让我们试着去学习一个[ffb220]奥义技能[-]吧。,xinshouyindao/v_newfunction_102_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_103,1,1,H:H0149,0,,10,-30,您可以在战斗中收集混沌能量，当您拥有一定的混沌能量时便可释放[ffb220]奥义[-]。为了使[ffb220]奥义[-]释放得更加及时准确，您可以事先预约想要释放的[ffb220]奥义[-]呢！,xinshouyindao/v_newfunction_103_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_104,1,1,H:H0149,0,,10,-30,预约成功！那么，让我们立刻开始这场激烈的战斗吧！,xinshouyindao/v_newfunction_104_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_201,1,1,H:H0149,0,,10,-30,通过[ffb220]锻体[-]，英雄们可以在战斗中更加专注的培养自己的某几项属性。现在就让我们为您的英雄进行[ffb220]锻体配置[-]吧！,xinshouyindao/v_newfunction_201_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_202,1,2,H:H0149,0,,15,10,如您所见，在某项属性中投入的[ffb220]锻体点数[-]越多，该英雄在战斗中提升该属性的速率也就越快！,xinshouyindao/v_newfunction_202_01,1,2,H:H0149,0,,15,10,合适的才是最好的，希望您能培养出自己的强力英雄。那么，我就先告辞咯！,xinshouyindao/v_newfunction_202_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_301,1,1,H:H0009,0,,10,-30,[ffb220]竞技场[-]是混沌神之间相互挑战切磋的场所，我想以您的实力一定会在[ffb220]竞技场[-]中取得不错的成绩，让我们快去看看吧！,xinshouyindao/v_newfunction_301_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_302,1,2,H:H0009,0,,15,10,您可以在[ffb220]竞技场[-]中挑战其他混沌神以掠取他们的[ffb220]竞技场经验[-]。[ffb220]竞技场经验[-]越多，每日所获奖励也越丰富。您也快去大展身手吧！,xinshouyindao/v_newfunction_302_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_303,1,2,H:H0009,0,,15,10,"如您所见，这里是[ffb220]声望商城[-]。在此您可以使用[ffb220]声望[-]兑换极品装备及稀有英雄。您在PVP
活动中表现得越活跃，您所获得的[ffb220]声望[-]也将越多！",xinshouyindao/v_newfunction_303_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_401,1,1,H:H0149,0,,10,-30,伟大的[ffb220]$P[-]，您刚刚获得了一个[ffb220]魔法阵[-]。装配[ffb220]魔法阵[-]可以让您阵容中特定位置的英雄获得属性加成，现在就让我们去看看吧！,xinshouyindao/v_newfunction_401_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_402,1,1,H:H0149,0,,10,-30,不同的[ffb220]魔法阵[-]提供不同的属性加成，善加使用会使您的英雄更加强力。让我们去收集更多的[ffb220]魔法阵[-]吧！,xinshouyindao/v_newfunction_402_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_501,1,1,H:H0149,0,,10,-30,伟大的[ffb220]$P[-]，您刚刚获得了一个[ffb220]技能[-]。为英雄装配[ffb220]技能[-]可以其在战斗中发挥更大威力。现在就让我们看看如何为英雄装配[ffb220]技能[-]吧！,xinshouyindao/v_newfunction_501_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_502,1,2,H:H0149,0,,15,10,如您所见，您所获得的[ffb220]技能[-]都会显示在此。每个[ffb220]技能[-]都拥有[ffb220]2[-]种独特的释放属性，其与英雄属性越契合，释放出技能的威力也越大！,xinshouyindao/v_newfunction_502_01,1,2,H:H0149,0,,15,10,我能告诉您的知识有限，剩下的就要靠您自己领悟咯！希望您能为自己的英雄搭配最合适的[ffb220]技能[-]，我先告辞咯。,xinshouyindao/v_newfunction_502_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_601,1,2,H:H0010,0,,15,10,伟大的[ffb220]$P[-]，您刚刚获得了一个[ffb220]残片[-]！我们可以通过[ffb220]掠夺[-]获得该[ffb220]残片[-]的其它部分并将其拼接成一件完整的道具。还等什么，出发吧！,xinshouyindao/v_newfunction_601_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_602,1,2,H:H0010,0,,15,10,敌方的实力与掠夺几率都会稍有不同，若想更加有效率的掠夺残片，您一定要好好选择掠夺目标噢！希望您能做出明智的选择，我就先告辞咯！,xinshouyindao/v_newfunction_602_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_701,1,1,H:H0149,0,,10,-30,伟大的[ffb220]$P[-]，您刚刚获得了一颗[ffb220]突破石[-]！这颗珍贵的宝石是英雄[ffb220]突破[-]时不可或缺的材料噢，现在就让我们去看看如何使用吧！,xinshouyindao/v_newfunction_701_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_702,1,2,H:H0149,0,,15,10,[ffb220]突破[-]会直接提升英雄的属性噢，第一时间为自己的主力英雄[ffb220]突破[-]可以让您的军团更加强大呢！下面就让我们去收集更多的[ffb220]突破石[-]吧…,xinshouyindao/v_newfunction_702_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_801,1,1,H:H0149,0,,10,-30,伟大的[ffb220]$P[-]，您已在不知不觉中完成了一项成就噢！让我们快去[ffb220]任务[-]面板中查看一下吧！,xinshouyindao/v_newfunction_801_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_802,1,2,H:H0149,0,,15,10,如您所见，每次完成任务或成就都可以来此领取一定的奖励噢！我们还等什么，赶紧再次开始冒险吧…,xinshouyindao/v_newfunction_802_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_901,1,1,H:H0009,0,,10,-30,伟大的[ffb220]$P[-]，您已解锁了[ffb220]战役难度[-]功能！完成某地点普通难度战役会解锁该地点的更高难度战役，挑战愈多奖励也愈多，,xinshouyindao/v_newfunction_901_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_902,1,2,H:H0009,0,,15,10,如您所见，该地点已切换为[ffb220]噩梦难度[-]。在该难度下的战斗会更加困难，但同样的您的战利品也会更加有诱惑力。那么，就让我们开始迎接新的战斗吧！,xinshouyindao/v_newfunction_902_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_1001,1,1,H:H0031,0,,10,-30,伟大的[ffb220]$P[-]，您已开启了[ffb220]元神魔球[-]，现在就让我们去瞧瞧它的用处吧！,xinshouyindao/v_newfunction_1001_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_1002,1,2,H:H0031,0,,15,10,[ffb220]元神魔球[-]会随机召唤出您上阵英雄的元神，每日第一次免费领取噢！如果您愿意花点小钱，我想您的英雄们可能会成长得更快呐！,xinshouyindao/v_newfunction_1002_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_1101,1,1,H:H0031,0,,10,-30,伟大的[ffb220]$P[-]，由于您的实力与日俱增，一座远古遗迹已向您开放了，快随我去探索一下吧！,xinshouyindao/v_newfunction_1101_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_1102,1,2,H:H0031,0,,15,10,[ffb220]神秘之塔[-]中蕴藏着许多上古的宝藏，但是塔之灵只允许您每日前来探索一次，所以机会格外珍贵噢！,xinshouyindao/v_newfunction_1102_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_1201,1,1,H:H0149,0,,10,-30,伟大的[ffb220]$P[-]，您的力量与日俱增，我想也该是时候考验一下您随从们的实力了！,xinshouyindao/v_newfunction_1201_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_1202,1,2,H:H0149,0,,15,10,若是您的随从们通过您的考验，我想您一定会慷慨的奖赏他们。现在就只剩他们准备完毕了！,xinshouyindao/v_newfunction_1202_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_1301,1,1,H:H0033,0,,10,-30,伟大的[ffb220]$P[-]，您的力量日益增强，如今已经可以操控[ffb220]混沌熔炉[-]了。快让我们看看它的能耐吧！,xinshouyindao/v_newfunction_1301_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_1302,1,1,H:H0033,0,,10,-30,[ffb220]混沌熔炉[-]十分强大，它可以将您不需要的装备熔炼为金币，同时有一定几率产出新的物品。由于需要消耗混沌力量，其每日使用次数有限，请珍惜使用噢！,xinshouyindao/v_newfunction_1302_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_1401,1,1,H:H0009,0,,10,-30,伟大的[ffb220]$P[-]，您已争讨过太多的遗迹。我想，也是时候将其中一些据为[ffb220]领地[-]了！,xinshouyindao/v_newfunction_1401_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_1402,1,1,H:H0009,0,,10,-30,您可以一览江山了吧!占领某个领地就能为您提供丰富的[ffb220]贡品[-]与[ffb220]税金[-]！准备开始行动吧！,xinshouyindao/v_newfunction_1402_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newfunction_1501,1,1,H:H0031,0,,10,-30,伟大的[ffb220]$P[-]，您的团队日益强大，您麾下的英雄已经领悟了[ffb220]星光之力[-]。现在就让我们一起去看看它的作用吧！,xinshouyindao/v_newfunction_1501_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
